VENDOR	CODE	BARCODE	BARCODE_DISPLAY	NAME_KR	NAME_EN	SIZE
Hanmi	83359	087703833593	0 87703 83359 3	EVERYDAZE곰부차,딸기키위	EVERYDAZE Kombucha,S/berryKiwi	4/10/5.07oz
Hanmi	83360	087703833609	0 87703 83360 9	EVERYDAZE곰부차,자몽블랙티	EVERYDAZE Kombucha,Grapefruit	4/10/5.07oz
Hanmi	83591	087703835917	0 87703 83591 7	콜라겐젤리스틱,복숭아	Collagen Jelly Stick Peach	30/10/0.7oz
Hanmi	83592	087703835924	0 87703 83592 4	콜라겐젤리스틱망고	Collagen Jelly Stick Mango	30/10/0.7oz
Hanmi	83593	087703835931	0 87703 83593 1	콜라겐젤리스틱청포도	Collagen Jelly Stick Green Grape	30/10/0.7oz
Hanmi	83594	087703835948	0 87703 83594 8	콜라겐젤리스틱석류	Collagen Jelly Stick Pomegranate	30/10/0.7oz
Hanmi	83588	087703835887	0 87703 83588 7	스위트젤리C곤약딸기	SWEET JELLY Vitamin C Strawberry	4/10/5.07oz
Hanmi	83589	087703835894	0 87703 83589 4	스위트젤리C곤약파인애플	SWEET JELLY Vitamin C Pineapple	4/10/5.07oz
Hanmi	83590	087703835900	0 87703 83590 0	스위트젤리C곤약포도	SWEET JELLY Vitamin C Grape	4/10/5.07oz
Hanmi	82099	087703820999	0 87703 82099 9	정관장활기력(병)	Korea Red Ginseng Vital Tonic	12/10 Bt/20 ml
Hanmi	82100	087703821002	0 87703 82100 2	정관장홍삼에브리타임자몽	K.Red Ginseng Everytime Grapefruit	12/10 Sticks/10 ml
Hanmi	82101	087703821019	0 87703 82101 9	정관장홍삼정캡슐플러스	Korean Red Ginseng Capsule Plus	36/30 Caps/600 mg
Hanmi	82816	087703828162	0 87703 82816 2	정관장홍삼에브리타임레몬	K.Red Ginseng Everytime Lemon Stick	12/10 Sticks/10 ml
Hanmi	08429	087703084292	0 87703 08429 2	홍삼원	RED GINSENG DRINK	10/10/3.3FLOZ(100ML)
